#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  152.0900	   125.1600	     0.0395	    67.8094	   101.3904	   169.1999	   546.3000	   546.3000	   543.3400	   354.3100	     3.9860	     0.9900	   738.3100	 regenerative cooling, opposite flow	 
  158.8300	   123.2600	     0.0407	    69.8685	   102.0285	   171.8970	   545.8400	   545.8400	   542.8000	   353.0700	     3.9860	     1.0100	   739.6000	 regenerative cooling, opposite flow	 
  165.5600	   121.2200	     0.0420	    72.1883	   102.0990	   174.2873	   545.0000	   545.0000	   542.0100	   351.8200	     3.9860	     1.0300	   740.8000	 regenerative cooling, opposite flow	 
  172.2900	   119.0300	     0.0435	    74.8273	   101.9659	   176.7931	   543.9700	   543.9700	   540.9100	   350.5600	     3.9860	     1.0500	   742.0000	 regenerative cooling, opposite flow	 
  179.0300	   116.7000	     0.0453	    77.9261	   101.6054	   179.5315	   542.6400	   542.6400	   539.5800	   349.2900	     3.9860	     1.0700	   743.2100	 regenerative cooling, opposite flow	 
  185.7600	   114.2100	     0.0472	    81.2483	   101.5983	   182.8466	   541.4300	   541.4300	   538.3200	   348.0000	     3.9860	     1.1000	   744.4300	 regenerative cooling, opposite flow	 
  192.4900	   111.5700	     0.0494	    85.1434	   101.6571	   186.8005	   540.2800	   540.2800	   537.1200	   346.7100	     3.9860	     1.1200	   745.6600	 regenerative cooling, opposite flow	 
  199.2300	   108.7800	     0.0519	    89.4980	   101.5835	   191.0815	   538.8400	   538.8400	   535.5800	   345.4000	     3.9860	     1.1600	   746.9100	 regenerative cooling, opposite flow	 
  205.9600	   105.8200	     0.0548	    94.4333	   102.4438	   196.8771	   538.0400	   538.0400	   534.7900	   344.0700	     3.9860	     1.1900	   748.1800	 regenerative cooling, opposite flow	 
  212.6900	   102.6900	     0.0580	   100.2088	   102.0007	   202.2094	   536.0100	   536.0100	   532.6900	   342.7200	     3.9860	     1.2300	   749.4600	 regenerative cooling, opposite flow	 
  219.4300	    99.3900	     0.0619	   107.0080	   101.6471	   208.6551	   534.1100	   534.1100	   530.7000	   341.3600	     3.9860	     1.2800	   750.7600	 regenerative cooling, opposite flow	 
  226.1600	    95.9100	     0.0663	   114.7744	   101.5864	   216.3609	   532.2900	   532.2900	   528.7600	   339.9700	     3.9860	     1.3400	   752.0900	 regenerative cooling, opposite flow	 
  232.8900	    92.2600	     0.0715	   123.8801	   101.4834	   225.3635	   530.3200	   530.3200	   526.6700	   338.5600	     3.9870	     1.4000	   753.4300	 regenerative cooling, opposite flow	 
  239.6300	    88.4200	     0.0776	   134.6816	   101.1882	   235.8698	   528.1800	   528.1800	   524.3600	   337.1200	     3.9870	     1.4700	   754.8100	 regenerative cooling, opposite flow	 
  246.3600	    84.5300	     0.0847	   146.9682	   101.6931	   248.6613	   526.5300	   526.5300	   522.5700	   335.6500	     3.9870	     1.5500	   756.2000	 regenerative cooling, opposite flow	 
  253.0900	    80.6400	     0.0926	   161.0092	   101.8248	   262.8341	   524.6600	   524.6600	   520.4700	   334.1700	     3.9870	     1.6500	   757.6200	 regenerative cooling, opposite flow	 
  259.8300	    76.7600	     0.1019	   177.2420	   101.4321	   278.6741	   522.6600	   522.6600	   518.2400	   332.6600	     3.9870	     1.7500	   759.0300	 regenerative cooling, opposite flow	 
  266.5600	    72.8700	     0.1124	   195.6975	   101.4732	   297.1707	   521.3200	   521.3200	   516.6500	   331.1300	     3.9870	     1.8700	   760.3800	 regenerative cooling, opposite flow	 
  273.2900	    68.9800	     0.1248	   217.4716	   100.7170	   318.1886	   519.6100	   519.6100	   514.6600	   329.5700	     3.9870	     2.0100	   761.7600	 regenerative cooling, opposite flow	 
  280.0200	    65.0900	     0.1393	   242.8554	   100.8529	   343.7083	   518.3400	   518.3400	   513.0100	   327.9700	     3.9870	     2.1600	   763.1800	 regenerative cooling, opposite flow	 
  286.7600	    61.2100	     0.1565	   273.0704	   100.4495	   373.5199	   516.7400	   516.7400	   510.9800	   326.3300	     3.9880	     2.3500	   764.6300	 regenerative cooling, opposite flow	 
  293.4900	    57.3200	     0.1771	   309.3275	    99.7890	   409.1165	   514.9700	   514.9700	   508.6800	   324.6300	     3.9880	     2.5700	   766.1300	 regenerative cooling, opposite flow	 
  300.2200	    53.4300	     0.2023	   353.6877	    97.8895	   451.5772	   512.7100	   512.7100	   505.7700	   322.8800	     3.9880	     2.8400	   767.6700	 regenerative cooling, opposite flow	 
  306.9600	    49.5400	     0.2332	   408.2971	    95.3798	   503.6769	   510.0900	   510.0900	   502.3900	   321.0600	     3.9890	     3.1800	   769.2800	 regenerative cooling, opposite flow	 
  313.6900	    45.6600	     0.2718	   476.3893	    92.8321	   569.2213	   507.1800	   507.1800	   498.5100	   319.1600	     3.9890	     3.6100	   770.9700	 regenerative cooling, opposite flow	 
  320.4200	    41.7700	     0.3208	   563.2043	    86.9498	   650.1541	   502.9200	   502.9200	   493.0500	   317.1600	     3.9900	     4.1700	   772.7400	 regenerative cooling, opposite flow	 
  327.1600	    38.3800	     0.3745	   658.4595	    78.3888	   736.8484	   497.6800	   497.6800	   486.5100	   315.1200	     3.9910	     4.8200	   774.5300	 regenerative cooling, opposite flow	 
  333.8900	    36.1200	     0.4169	   733.7642	    68.0712	   801.8354	   492.2400	   492.2400	   480.0900	   313.1300	     3.9930	     5.3900	   776.3000	 regenerative cooling, opposite flow	 
  340.6200	    34.8200	     0.4410	   776.3233	    58.2137	   834.5370	   487.6300	   487.6300	   474.9900	   311.1600	     3.9950	     5.7700	   777.9500	 regenerative cooling, opposite flow	 
  346.9700	    34.4300	     0.4435	   780.0529	    52.4515	   832.5044	   483.9400	   483.9400	   471.3300	   309.3300	     3.9970	     5.8900	   779.4600	 regenerative cooling, opposite flow	 
  360.4400	    35.1500	     0.3933	   675.9444	    35.3725	   711.3169	   515.5500	   515.5500	   504.8300	   305.6900	     3.9990	     3.4200	   782.4700	 regenerative cooling, opposite flow	 
  384.1800	    36.4300	     0.3415	   574.4602	    23.1171	   597.5774	   545.4300	   545.4300	   536.4500	   300.0000	     4.0000	     1.9400	   787.2800	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
