#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   50.9800	    29.7700	     0.4013	   624.2295	   171.6623	   795.8918	   715.8000	   715.8000	   703.8400	   339.9500	     3.9970	     0.6400	   752.1300	 regenerative cooling, opposite flow	 
   53.0700	    29.0300	     0.4193	   651.4053	   170.0359	   821.4413	   717.8100	   717.8100	   705.4400	   339.1900	     3.9970	     0.6600	   752.8500	 regenerative cooling, opposite flow	 
   55.1500	    28.2400	     0.4396	   681.7338	   170.9945	   852.7283	   720.7300	   720.7300	   707.9400	   338.4200	     3.9970	     0.6800	   753.5800	 regenerative cooling, opposite flow	 
   57.2400	    27.3800	     0.4636	   717.5280	   170.4367	   887.9648	   723.5400	   723.5400	   710.2000	   337.6300	     3.9980	     0.7000	   754.3300	 regenerative cooling, opposite flow	 
   59.3200	    26.4600	     0.4916	   759.1246	   171.1098	   930.2344	   727.0900	   727.0900	   713.1200	   336.8200	     3.9980	     0.7300	   755.1000	 regenerative cooling, opposite flow	 
   61.4000	    25.4800	     0.5244	   807.9621	   170.8127	   978.7748	   730.5800	   730.5800	   715.8900	   335.9900	     3.9980	     0.7700	   755.9000	 regenerative cooling, opposite flow	 
   63.4900	    24.4300	     0.5633	   865.6769	   171.0884	  1036.7653	   734.6300	   734.6300	   719.0900	   335.1300	     3.9980	     0.8100	   756.7100	 regenerative cooling, opposite flow	 
   65.5700	    23.3100	     0.6106	   935.6722	   169.8688	  1105.5410	   738.9600	   738.9600	   722.3900	   334.2400	     3.9980	     0.8500	   757.5600	 regenerative cooling, opposite flow	 
   67.6600	    22.1200	     0.6678	  1019.8308	   169.5102	  1189.3410	   744.0700	   744.0700	   726.2600	   333.3200	     3.9980	     0.9100	   758.4300	 regenerative cooling, opposite flow	 
   69.7400	    20.9200	     0.7339	  1116.6968	   168.7208	  1285.4176	   749.6800	   749.6800	   730.3700	   332.3800	     3.9980	     0.9700	   759.2900	 regenerative cooling, opposite flow	 
   71.8300	    19.7100	     0.8114	  1229.5276	   167.4661	  1396.9937	   755.8900	   755.8900	   734.9200	   331.4000	     3.9980	     1.0500	   760.1500	 regenerative cooling, opposite flow	 
   73.9100	    18.5100	     0.9022	  1361.0531	   166.8871	  1527.9402	   762.5000	   762.5000	   739.5800	   330.4000	     3.9980	     1.1400	   761.0400	 regenerative cooling, opposite flow	 
   76.0000	    17.3100	     1.0098	  1516.0743	   167.4373	  1683.5116	   769.6300	   769.6300	   744.3700	   329.3700	     3.9980	     1.2400	   761.9500	 regenerative cooling, opposite flow	 
   78.0800	    16.1000	     1.1399	  1703.0115	   165.9369	  1868.9484	   776.8900	   776.8900	   748.8400	   328.2900	     3.9980	     1.3600	   762.9000	 regenerative cooling, opposite flow	 
   80.1700	    14.9000	     1.2989	  1930.3496	   163.6915	  2094.0411	   784.4400	   784.4400	   753.0200	   327.1800	     3.9980	     1.5200	   763.8900	 regenerative cooling, opposite flow	 
   82.2500	    13.7000	     1.4963	  2211.3621	   160.2196	  2371.5817	   792.2600	   792.2600	   756.6700	   326.0100	     3.9980	     1.7100	   764.9200	 regenerative cooling, opposite flow	 
   84.3300	    12.4900	     1.7454	  2564.1155	   157.5500	  2721.6655	   800.4500	   800.4500	   759.6200	   324.7900	     3.9980	     1.9600	   766.0000	 regenerative cooling, opposite flow	 
   86.4200	    11.2900	     2.0679	  3019.1874	   150.3605	  3169.5480	   808.3400	   808.3400	   760.8000	   323.5000	     3.9980	     2.2900	   767.1400	 regenerative cooling, opposite flow	 
   88.5000	    10.1000	     2.4879	  3609.6326	   137.7589	  3747.3915	   815.2100	   815.2100	   759.0100	   322.1500	     3.9980	     2.7600	   768.3300	 regenerative cooling, opposite flow	 
   90.5900	     9.2500	     2.8747	  4151.7201	   119.4750	  4271.1952	   818.1300	   818.1300	   754.0600	   320.8000	     3.9980	     3.2400	   769.5300	 regenerative cooling, opposite flow	 
   92.6700	     8.7800	     3.1107	  4481.5080	    99.5466	  4581.0546	   816.4300	   816.4300	   747.7100	   319.4700	     3.9980	     3.5700	   770.7000	 regenerative cooling, opposite flow	 
   94.4600	     8.6500	     3.1493	  4533.6428	    88.9369	  4622.5797	   811.6900	   811.6900	   742.3500	   318.3500	     3.9990	     3.6700	   771.6900	 regenerative cooling, opposite flow	 
   98.6300	     9.8000	     2.4282	  3531.1229	    24.2503	  3555.3731	   773.1600	   773.1600	   719.8200	   315.8500	     3.9990	     2.9400	   773.9000	 regenerative cooling, opposite flow	 
  102.8000	    11.0400	     1.9302	  2830.2217	    12.3903	  2842.6120	   749.3900	   749.3900	   706.7500	   313.5500	     3.9990	     2.4200	   775.9300	 regenerative cooling, opposite flow	 
  106.9700	    12.2000	     1.5910	  2348.2309	     8.4778	  2356.7087	   731.4500	   731.4500	   696.1000	   311.4600	     4.0000	     2.0800	   777.7100	 regenerative cooling, opposite flow	 
  111.1400	    13.2700	     1.3503	  2003.9028	     6.5541	  2010.4569	   717.1200	   717.1200	   686.9600	   309.5300	     4.0000	     1.8300	   779.3200	 regenerative cooling, opposite flow	 
  115.3100	    14.2700	     1.1735	  1749.7631	     5.2557	  1755.0187	   705.1700	   705.1700	   678.8500	   307.7200	     4.0000	     1.6500	   780.8300	 regenerative cooling, opposite flow	 
  119.4800	    15.1900	     1.0400	  1556.9753	     4.3842	  1561.3595	   695.1200	   695.1200	   671.7000	   306.0200	     4.0000	     1.5100	   782.2500	 regenerative cooling, opposite flow	 
  123.6500	    16.0300	     0.9369	  1407.5439	     3.7730	  1411.3169	   686.6000	   686.6000	   665.4300	   304.3900	     4.0000	     1.4100	   783.6100	 regenerative cooling, opposite flow	 
  127.8200	    16.8000	     0.8560	  1289.8802	     3.3288	  1293.2090	   679.3700	   679.3700	   659.9800	   302.8400	     4.0000	     1.3200	   784.9000	 regenerative cooling, opposite flow	 
  135.7900	    18.0500	     0.7445	  1126.9621	     2.6971	  1129.6592	   668.5400	   668.5400	   651.5900	   300.0000	     4.0000	     1.2000	   787.2800	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
