#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   48.8800	    30.4800	     1.0821	  1198.9321	   208.6914	  1407.6235	   930.1100	   930.1100	   907.7300	   367.0800	     3.9970	     0.6700	   725.0400	 regenerative cooling, opposite flow	 
   50.9600	    29.7900	     1.1276	  1242.6558	   209.1606	  1451.8164	   936.0800	   936.0800	   913.1000	   365.9200	     3.9970	     0.6900	   726.2500	 regenerative cooling, opposite flow	 
   53.0400	    29.0600	     1.1803	  1293.3638	   209.1333	  1502.4971	   942.3400	   942.3400	   918.7500	   364.7200	     3.9970	     0.7100	   727.4900	 regenerative cooling, opposite flow	 
   55.1300	    28.2600	     1.2414	  1352.4401	   207.3609	  1559.8010	   948.6700	   948.6700	   924.3400	   363.5000	     3.9970	     0.7300	   728.7600	 regenerative cooling, opposite flow	 
   57.2100	    27.4000	     1.3127	  1420.1267	   208.0500	  1628.1768	   956.2200	   956.2200	   931.0000	   362.2500	     3.9970	     0.7600	   730.0600	 regenerative cooling, opposite flow	 
   59.3000	    26.4800	     1.3973	  1500.7147	   205.9966	  1706.7112	   964.0600	   964.0600	   937.7700	   360.9600	     3.9970	     0.7900	   731.4100	 regenerative cooling, opposite flow	 
   61.3800	    25.5000	     1.4961	  1593.7598	   205.7093	  1799.4691	   972.7700	   972.7700	   945.2600	   359.6300	     3.9970	     0.8200	   732.7900	 regenerative cooling, opposite flow	 
   63.4700	    24.4500	     1.6139	  1703.9604	   204.5995	  1908.5599	   982.2300	   982.2300	   953.1500	   358.2500	     3.9970	     0.8600	   734.2200	 regenerative cooling, opposite flow	 
   65.5500	    23.3300	     1.7571	  1836.4974	   203.0664	  2039.5638	   992.8600	   992.8600	   961.8800	   356.8200	     3.9970	     0.9100	   735.7100	 regenerative cooling, opposite flow	 
   67.6400	    22.1500	     1.9324	  1996.8056	   200.9063	  2197.7119	  1004.6400	  1004.6400	   971.3900	   355.3300	     3.9970	     0.9700	   737.2600	 regenerative cooling, opposite flow	 
   69.7200	    20.9400	     2.1376	  2181.3939	   201.4520	  2382.8459	  1017.4600	  1017.4600	   981.5100	   353.7800	     3.9970	     1.0400	   738.8700	 regenerative cooling, opposite flow	 
   71.8000	    19.7400	     2.3800	  2395.8798	   198.2412	  2594.1210	  1031.2100	  1031.2100	   992.1300	   352.1900	     3.9970	     1.1200	   740.4600	 regenerative cooling, opposite flow	 
   73.8900	    18.5400	     2.6665	  2643.2257	   197.1777	  2840.4034	  1046.5200	  1046.5200	  1003.7700	   350.5400	     3.9970	     1.2100	   742.0300	 regenerative cooling, opposite flow	 
   75.9700	    17.3300	     3.0100	  2936.3187	   193.0792	  3129.3980	  1062.1400	  1062.1400	  1015.0900	   348.8300	     3.9980	     1.3200	   743.6600	 regenerative cooling, opposite flow	 
   78.0600	    16.1300	     3.4276	  3285.9120	   190.3891	  3476.3011	  1078.8300	  1078.8300	  1026.6100	   347.0500	     3.9980	     1.4500	   745.3500	 regenerative cooling, opposite flow	 
   80.1400	    14.9300	     3.9416	  3709.7870	   185.5734	  3895.3604	  1096.0700	  1096.0700	  1037.6200	   345.2000	     3.9980	     1.6100	   747.1200	 regenerative cooling, opposite flow	 
   82.2300	    13.7200	     4.5839	  4229.8961	   180.6016	  4410.4977	  1114.1000	  1114.1000	  1047.8400	   343.2500	     3.9980	     1.8100	   748.9700	 regenerative cooling, opposite flow	 
   84.3100	    12.5200	     5.4029	  4881.8395	   174.6091	  5056.4485	  1132.6800	  1132.6800	  1056.8100	   341.2000	     3.9980	     2.0700	   750.9200	 regenerative cooling, opposite flow	 
   86.4000	    11.3200	     6.4624	  5713.7874	   164.3076	  5878.0950	  1150.9600	  1150.9600	  1062.7800	   339.0400	     3.9980	     2.4200	   752.9800	 regenerative cooling, opposite flow	 
   88.4800	    10.1300	     7.8361	  6783.2241	   146.9326	  6930.1567	  1167.2900	  1167.2900	  1063.3200	   336.7600	     3.9980	     2.9100	   755.1500	 regenerative cooling, opposite flow	 
   90.5600	     9.2600	     9.0809	  7753.6778	   124.2959	  7877.9737	  1175.4600	  1175.4600	  1057.2700	   334.4800	     3.9980	     3.4100	   757.3200	 regenerative cooling, opposite flow	 
   92.6500	     8.7900	     9.7832	  8316.4750	   100.8490	  8417.3241	  1174.1300	  1174.1300	  1047.8200	   332.2500	     3.9980	     3.7600	   759.4000	 regenerative cooling, opposite flow	 
   94.4800	     8.6600	     9.7484	  8335.8615	    86.6470	  8422.5085	  1163.3200	  1163.3200	  1036.9400	   330.3200	     3.9990	     3.8600	   761.0800	 regenerative cooling, opposite flow	 
   98.6500	     9.8100	     7.0386	  6361.1669	    19.7900	  6380.9569	  1091.4300	  1091.4300	   995.6800	   326.1400	     3.9990	     3.0900	   764.7800	 regenerative cooling, opposite flow	 
  102.8200	    11.0500	     5.3678	  5029.1119	     8.9351	  5038.0470	  1046.8900	  1046.8900	   971.2800	   322.3200	     3.9990	     2.5400	   768.1600	 regenerative cooling, opposite flow	 
  106.9900	    12.2100	     4.3051	  4142.3820	     5.6083	  4147.9902	  1013.6600	  1013.6600	   951.4100	   318.8700	     3.9990	     2.1700	   771.2200	 regenerative cooling, opposite flow	 
  111.1600	    13.2900	     3.5807	  3518.0340	     3.8694	  3521.9034	   987.3700	   987.3700	   934.5000	   315.6800	     4.0000	     1.9100	   774.0400	 regenerative cooling, opposite flow	 
  115.3200	    14.2900	     3.0634	  3059.6876	     2.9457	  3062.6333	   966.3000	   966.3000	   920.3200	   312.7000	     4.0000	     1.7200	   776.6600	 regenerative cooling, opposite flow	 
  119.4900	    15.2000	     2.6805	  2706.9806	     2.2442	  2709.2248	   951.3200	   951.3200	   910.6400	   309.8900	     4.0000	     1.5800	   779.0100	 regenerative cooling, opposite flow	 
  123.6600	    16.0500	     2.3906	  2435.7897	     1.7541	  2437.5438	   939.0400	   939.0400	   902.4300	   307.2100	     4.0000	     1.4600	   781.2500	 regenerative cooling, opposite flow	 
  127.8300	    16.8100	     2.1681	  2224.4528	     1.3777	  2225.8305	   929.2000	   929.2000	   895.7700	   304.6500	     4.0000	     1.3700	   783.3700	 regenerative cooling, opposite flow	 
  135.7400	    18.0500	     1.8694	  1935.7598	     0.9708	  1936.7306	   915.6500	   915.6500	   886.5700	   300.0000	     4.0000	     1.2500	   787.2800	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
